soil.res;temp.0;temp.5;temp.10;temp.15;smoi;lmoi;litter.d;ph.litter;ph.soil0;ph.soil5;rootdw0;rootdw5;rootn0;rootc0;rootn5;rootc5;litter.c;litter.n;soiln0;soilc0;soiln5;soilc5;litno3;litnh4;litdoc;sno30;snh40;sdoc0;sno35;snh45;sdoc5;nn
4.375;15.52;11.91;11.79;11.74;41.75939154;0.678214058;0.3;6.45;4.23;3.95;0.151;0.034;1.7163315;37.818081;1.692855;39.169281;450.88133;14.24978;4.752147904;61.67658301;3.124335786;34.02787208;0.036393668;0.018885578;0.468427848;0.010703677;0.0029456;0.090958349;0.004;0.003130156;0.118758861;2.49
4.3425;11.75;11.54;11.41;11.4;32.72151427;0.568445694;1.5;6.42;4.3;4.13;0.167;0.097;1.5526755;36.2094825;1.3921305;34.6898785;464.258805;13.597635;5.118637481;61.74508518;3.515824862;37.8279705;0.002;0.003346766;0.385451971;0.005;0.003632943;0.087837289;0.004;0.001853513;0.05462559;1.06
2.98;12.61;11.75;11.52;11.48;33.83689613;0.659560909;1;6.32;4.27;4.25;0.102;0.024;1.5045495;36.954954;1.557073;35.1556665;469.91285;13.870555;5.157602174;64.92110224;1.784082334;21.43708367;0.017632441;0.004607981;0.391999872;0.017603512;0.002377711;0.067708476;0.014260353;0.002639287;0.041532046;1.58
2.5625;11.75;11.4;11.35;11.26;28.25262817;0.57796715;1.5;5.74;3.9;3.94;0.046;0.049160839;1.50892;30.6190775;1.36139;34.3375625;469.48988;14.887035;4.829005524;63.94825159;3.741248604;46.69082423;0.01670103;0.006571442;0.375127556;0.010892695;0.002118255;0.093490798;0.013633983;0.002255407;0.058578111;1.36
2.6;12.29;11.59;11.45;11.39;42.87904549;0.675764695;1.5;6.24;4.05;4.32;0.055;0.034774194;1.74416;36.5665585;1.407943;39.607567;466.549335;14.27905;4.544576757;59.14677672;2.596987299;31.15076293;0.007461533;0.010068415;0.50049784;0.022760194;0.008599232;0.068024274;0.014321943;0.001674059;0.047048893;2.77
6.2125;12.93;11.74;11.59;11.5;27.27465048;0.629258176;2;5.54;4.23;4.16;0.129;0.098;1.7333695;39.924858;1.5168995;36.9332405;471.621115;16.25067;5.882611883;76.05801555;5.013750511;59.40948577;0.03861658;0.017991253;0.743194169;0.01743749;0.008957436;0.083292303;0.006601767;0.001;0.059741982;1.6
3.5475;12.7;11.48;11.35;11.31;35.5497413;0.64586978;1.5;6.23;4.16;4.15;0.048;0.047625;1.7341075;32.368084;1.404645;35.787479;447.556325;14.530925;4.485362484;56.32023167;2.949517828;30.75270981;0.066728428;0.013373174;0.44876295;0.02533645;0.002265064;0.056208391;0.010726705;0.001278942;0.039491785;1.63
3.445;12.43;11.62;11.48;11.4;36.60647851;0.693380095;1.5;6.11;4.02;4.1;0.05035012;0.13;1.8843;34.2272055;1.541567;36.8042375;467.38251;14.91082;6.271173834;82.20584381;5.616670825;70.27856399;0.081308998;0.042421633;0.548406012;0.032313858;0.002177019;0.088671096;0.015537825;0.002242199;0.057837614;1.6
3.715;12.63;11.86;11.6;11.54;40.39704474;0.612843681;0.3;6.5;4.62;4.46;0.036223015;0.068;1.7258865;39.015213;1.4832795;37.9333195;464.02094;13.7368;5.738265101;78.2250845;3.803351459;43.04895987;0.079345582;0.077835136;0.600955566;0.023042208;0.001803619;0.050767942;0.006099674;0.001183014;0.04366883;2.58
2.9;12.49;11.66;11.5;11.4;40.79572491;0.613787861;0.3;6.42;4.35;4.3;0.142;0.066433915;1.8394085;35.927128;1.4272405;38.2653675;464.425755;14.05256;5.806945911;76.34105733;4.570248486;53.33919704;0.014411295;0.014416734;0.509348368;0.012388454;0.003238427;0.065582672;0.010250397;0.004417854;0.065642618;3.21
